COURSE_ID,TITLE,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain,num_genres,predicted_rating
GPXX0ZG0EN,consuming restful services using the reactive jax rs client,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2.9826084446095233
GPXX0Z2PEN,containerizing  packaging  and running a spring boot application,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2.999772507269178
GPXX0FTCEN,learn how to use docker containers for iterative development,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2.9996748174253156
GPXX06RFEN,create your first mongodb database,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9903328042001296
GPXX0SDXEN,testing microservices with the arquillian managed container,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2.9995166412548877
GPXX0PICEN,create a cryptocurrency trading algorithm in python,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9984642950600064
GPXX0W7KEN,securing java microservices with eclipse microprofile json web token  microprofile jwt ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9980891438035773
GPXX0A1YEN,validating constraints for javabeans in java microservices,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.999309641099211
GPXX03HFEN,fundamentals of javascript through rock paper scissors,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.9918252477617227
GPXX0IBEN,data science in insurance  basic statistical analysis ,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,2.3677339840718004
GPXX0YXHEN,testing a microprofile or jakarta ee application using microshed testing with an open liberty docker container,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9230531754926696
GPXX0BUBEN,insurance risk assessment with montecarlo method using apache spark ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2.9828886703885233
GPXX04HEEN,insurance business modelling and basic actuarial calculations,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.995736431838839
GPXX048OEN,action classification task based on internet firewall logs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.999291529044848
GPXX01DCEN,data science in health care  advanced prognostication using neural networks,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2.954237325895003
GPXX04XJEN,advanced machine   deep learning for spam classification task,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.987190182374067
GPXX0JZ4EN,visual data analysis in banking,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.3022781806284143
GPXX0ZYVEN,secure analysis of credit card dataset,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.172663023114885
GPXX0ZMZEN,data science in health care  advanced machine learning classification,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2.8864458234384007
GPXX0742EN,network traffic anomaly detection  intrusion detection task ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.9992109139350345
GPXX0KV4EN,getting started with node js,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.8360989544800477
GPXX01RYEN,getting started with mysql command line,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8281388888371723
CC0120EN,an introduction to ibm cloud satellite,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.8606383444105434
QC0101EN,introduction to quantum computing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.9598034973690535
GPXX0YMEEN,launch an ai hotdog detector as a serverless python app,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,2.345772335741146
GPXX0Q8AEN,exploratory data analysis  eda  with pandas in banking,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2.4659606127262514
GPXX0XFQEN,create tables and load data in mysql using phpmyadmin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.962999379222981
GPXX07REN,relational model concepts,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.990447375589128
GPXX0725EN,getting started with postgresql command line,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8281388888371723
GPXX0MIIEN,keys and constraints in mysql,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9903328042001296
GPXX0435EN,data science in health care  basic statistical analysis ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.306378271252259
GPXX06ZLEN,create tables and load data in postgresql using pgadmin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.962999379222981
GPXX0QS6EN,monitoring the metrics of java microservices using eclipse microprofile metrics,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9851470039671932
GPXX07YGEN,configuring microservices running in kubernetes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2.997746452884737
GPXX0QJFEN,enabling cross origin resource sharing  cors  in a restful java microservice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.999342066470251
GPXX0LLEEN,getting started with db2 on cloud,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.1093933455021756
GPXX04V3EN,deploy a web server using python and ibm cloud engine,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,2.983420636747023
GPXX05P1EN,acknowledging messages using microprofile reactive messaging,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9847275086418192
GPXX0D14EN,build a personal movie recommender with django,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,2.951217225939207
GPXX0G3KEN,managing and injecting dependencies into java microservices using contexts and dependency injection  cdi ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9851470039671932
GPXX0HZ2EN,deploying microservices to kubernetes,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2.9977704558163922
GPXX04TNEN,getting started with open liberty,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.740208300511602
GPXX0IHMEN,consuming restful java microservices asynchronously using eclipse microprofile rest client,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9851470039671932
GPXX0E3QEN,building fault tolerant microservices with the  fallback annotation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9993477780242626
GPXX0XV3EN,consuming restful java microservices with template interfaces using eclipse microprofile rest client,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9851470039671932
GPXX0NHZEN,normalization   keys   constraints in relational database,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.990447375589128
GPXX0XENEN,playing tictactoe with reinforcement learning and openai gym,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.9970657413633033
GPXX0HAAEN,deploying a microservice to openshift by using a kubernetes operator,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2.983746313051872
CO0302EN,kubernetes operators advanced,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2.997763216985396
GPXX0I4FEN,creating asynchronous java microservices using microprofile reactive messaging,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9980125815756846
GPXX06KEEN,build a smart search form with algolia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9550803799382934
GPXX0YBFEN,documenting restful apis using microprofile openapi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.985000782206186
GPXX0KHHEN,data science in agriculture  land use classification,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2.952406816484247
GPXX04P5EN,data science in agriculture  prognostication using by neural network,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2.7266556961306674
GPXX0PG8EN,data science in agriculture  basic statistical analysis and geo visualisation,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2.371035629837387
GPXX0M7ZEN,consuming a restful java web service using json b and json p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.997380071258113
CC0121EN,an introduction to ibm cloud for financial services,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.933474704491665
GPXX07UGEN,testing reactive java microservices using microshed testing framework,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9980896032365414
GPXX0QU9EN,checking the health of java microservices by using kubernetes readiness and liveness probes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9968545758688907
GPXX0QTEEN,checking the health of java microservices by using eclipse microprofile health check,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9851470039671932
GPXX0WTIEN,train a hotdog image recognition model with python,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2.9987730375385455
GPXX08WYEN,externalizing configuration for java microservices using eclipse microprofile config,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.9851470039671932
GPXX0UMSEN,integrating restful services with a reactive system,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2.996786957761475
GPXX0M6UEN,using the cql shell to execute keyspace operations in cassandra,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2.986769714833718
GPXX097UEN,performing table and crud operations with cassandra,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2.9894879723390306
