COURSE_ID,TITLE,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain,num_genres
GPXX0ZG0EN,consuming restful services using the reactive jax rs client,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
GPXX0Z2PEN,containerizing  packaging  and running a spring boot application,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
GPXX0FTCEN,learn how to use docker containers for iterative development,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
GPXX06RFEN,create your first mongodb database,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GPXX0SDXEN,testing microservices with the arquillian managed container,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
GPXX0PICEN,create a cryptocurrency trading algorithm in python,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
GPXX0W7KEN,securing java microservices with eclipse microprofile json web token  microprofile jwt ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0A1YEN,validating constraints for javabeans in java microservices,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX03HFEN,fundamentals of javascript through rock paper scissors,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GPXX0IBEN,data science in insurance  basic statistical analysis ,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3
GPXX0YXHEN,testing a microprofile or jakarta ee application using microshed testing with an open liberty docker container,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0BUBEN,insurance risk assessment with montecarlo method using apache spark ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
GPXX04HEEN,insurance business modelling and basic actuarial calculations,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GPXX048OEN,action classification task based on internet firewall logs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
GPXX01DCEN,data science in health care  advanced prognostication using neural networks,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
GPXX04XJEN,advanced machine   deep learning for spam classification task,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
GPXX0JZ4EN,visual data analysis in banking,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GPXX0ZYVEN,secure analysis of credit card dataset,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GPXX0ZMZEN,data science in health care  advanced machine learning classification,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
GPXX0742EN,network traffic anomaly detection  intrusion detection task ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
GPXX0KV4EN,getting started with node js,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX01RYEN,getting started with mysql command line,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CC0120EN,an introduction to ibm cloud satellite,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
QC0101EN,introduction to quantum computing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
GPXX0YMEEN,launch an ai hotdog detector as a serverless python app,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3
GPXX0Q8AEN,exploratory data analysis  eda  with pandas in banking,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
GPXX0XFQEN,create tables and load data in mysql using phpmyadmin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GPXX07REN,relational model concepts,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GPXX0725EN,getting started with postgresql command line,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GPXX0MIIEN,keys and constraints in mysql,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GPXX0435EN,data science in health care  basic statistical analysis ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GPXX06ZLEN,create tables and load data in postgresql using pgadmin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GPXX0QS6EN,monitoring the metrics of java microservices using eclipse microprofile metrics,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX07YGEN,configuring microservices running in kubernetes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
GPXX0QJFEN,enabling cross origin resource sharing  cors  in a restful java microservice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0LLEEN,getting started with db2 on cloud,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
GPXX04V3EN,deploy a web server using python and ibm cloud engine,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3
GPXX05P1EN,acknowledging messages using microprofile reactive messaging,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0D14EN,build a personal movie recommender with django,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3
GPXX0G3KEN,managing and injecting dependencies into java microservices using contexts and dependency injection  cdi ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0HZ2EN,deploying microservices to kubernetes,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
GPXX04TNEN,getting started with open liberty,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0IHMEN,consuming restful java microservices asynchronously using eclipse microprofile rest client,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0E3QEN,building fault tolerant microservices with the  fallback annotation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0XV3EN,consuming restful java microservices with template interfaces using eclipse microprofile rest client,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0NHZEN,normalization   keys   constraints in relational database,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GPXX0XENEN,playing tictactoe with reinforcement learning and openai gym,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
GPXX0HAAEN,deploying a microservice to openshift by using a kubernetes operator,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
CO0302EN,kubernetes operators advanced,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
GPXX0I4FEN,creating asynchronous java microservices using microprofile reactive messaging,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX06KEEN,build a smart search form with algolia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0YBFEN,documenting restful apis using microprofile openapi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0KHHEN,data science in agriculture  land use classification,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
GPXX04P5EN,data science in agriculture  prognostication using by neural network,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
GPXX0PG8EN,data science in agriculture  basic statistical analysis and geo visualisation,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
GPXX0M7ZEN,consuming a restful java web service using json b and json p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
CC0121EN,an introduction to ibm cloud for financial services,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
GPXX07UGEN,testing reactive java microservices using microshed testing framework,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0QU9EN,checking the health of java microservices by using kubernetes readiness and liveness probes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0QTEEN,checking the health of java microservices by using eclipse microprofile health check,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0WTIEN,train a hotdog image recognition model with python,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
GPXX08WYEN,externalizing configuration for java microservices using eclipse microprofile config,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0UMSEN,integrating restful services with a reactive system,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
GPXX0M6UEN,using the cql shell to execute keyspace operations in cassandra,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
GPXX097UEN,performing table and crud operations with cassandra,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
SN0111EN,how to create and publish guided projects and hands on labs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPXX0JGFEN,building a simple restful java microservice using jax rs and json b,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
CO0193EN,hybrid cloud conference   backend services for containers,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
GPXX0HC7EN,transform photos to sketches and paintings with opencv,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
GPXX04MXEN,quick introduction to a b testing,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GPXX0RL8EN,consuming a restful java web service with angularjs,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
GPXX05LMEN,implement consumer driven contract testing for java microservices using the pact framework,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0UN5EN,classification of yelp reviews using sentiment analysis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
GPXX0TY1EN,performing database operations in the cloudant dashboard,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3
GPXX0T3CEN,working with databases in ibm cloudant,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
GPXX05RDEN,medical appointment data analysis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GPXX0BSAEN,implementing a graphql microservice using microprofile api to query and update data from multiple services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0G81EN,consuming a restful java web service with reactjs,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
GPXX0FFCEN,building and testing a java web application with maven and open liberty,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0MP0EN,building a hypermedia driven restful java microservice using hypermedia as the engine of application state  hateoas ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX01AVEN,containerizing and running java microservices in docker containers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
GPXX0G31EN,accessing and persisting data in microservices using java persistence api  jpa ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
GPXX0KY1EN,data science in health care  basic prognostication and geo visualization,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
GPXX0JLHEN,enabling distributed tracing in java microservices using eclipse microprofile opentracing and the jaeger tracing system ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0QQ3EN,deploy an ai powered discord bot with a voice,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
GPXX0RQLEN,views in postgresql,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GPXX0WRDEN,streaming updates from a microprofile reactive messaging microservice using server sent events  sse ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPXX0ADEN,consuming a restful java web service with angular,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
excourse01,relational database systems,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
excourse02,business intelligence and data warehousing,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
excourse03,nosql systems,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
excourse04,sql for data science,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
excourse05,"
distributed computing with spark sql",1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
excourse06,sql for data science capstone project,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
excourse07,database management essentials,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
excourse08,using databases with python,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
excourse09,process data from dirty to clean,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
excourse10,database architecture  scale  and nosql with elasticsearch,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
excourse11,the nature of data and relational database design,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
excourse12,python scripting  files  inheritance  and databases,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
excourse13,relational database support for data warehouses,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
excourse14,introduction to structured query language  sql ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
excourse15,crash course on python,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
excourse16,programming for everybody  getting started with python ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
excourse17,python basics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
excourse18,python programming  a concise introduction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
excourse19,introduction to python programming,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
excourse20,python and statistics for financial analysis,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
excourse21,applied machine learning in python,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3
excourse22,introduction to data science in python,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3
